,headline,display_date,generated_topics_neutral,generated_topics_bear,generated_topics_bull
4896,Hertz Net Rose 15% To $56.3 Million In First Quarter ---- By Gregory J. Corcoran Staff Reporter of The Wall Street Journal,2000-04-17 06:00:00.000,Corporate Profitability,Earnings Growth Concerns,Rental Market Growth
4897,Chinese Reforms: Don't Expect a Revolution --- Domestic Issues Come First; Officials Mull Widening Of Yuan's Trading Band ---- By Karby Leggett Staff Reporter of The Wall Street Journal,2000-04-21 06:00:00.000,Currency Policy,Currency Volatility,Currency Flexibility
4898,Looks Like Showdown Time in Broker Land --- Goldman's Move to Develop Online Real Estate Site Threatens Brokers' Role ---- By Peter Grant and Motoko Rich Staff Reporters of The Wall Street Journal,2000-04-12 06:00:00.000,Disintermediation,Disintermediation,Disintermediation
4899,Microsoft MSN Seeks to Recast Underdog Role --- Firm Will Sponsor Webcast Of Eurovision Contest In Bid to Attract Users ---- By Sarah Ellison Staff Reporter of The Wall Street Journal,2000-04-26 06:00:00.000,Marketing Strategy,Market Saturation,Brand Visibility
4900,QLogic to Acquire Ancor in Stock Deal Of $1.8 Billion ---- By Nikhil Deogun Staff Reporter of The Wall Street Journal,2000-05-08 06:00:00.000,Mergers & Acquisitions,Overleveraged Acquisition,Market Consolidation
4901,Microsoft Touches Off Tech Rally Lends Stocks Confidence to Follow ---- By Robert O'Brien Dow Jones Newswires,2000-05-02 06:00:00.000,Technology Sector Rally,Market Overheating,Technology Rally
4902,Price Tag for a Mideast Peace Runs High --- Tab Could Top $60 Billion; Israel Hopes to Impress U.S. of the Necessity ---- By Neil King Jr. Staff Reporter of The Wall Street Journal,2000-05-19 06:00:00.000,Geopolitical Costs,Geopolitical Costs,Geopolitical Investment Opportunities
4903,Investors Shrug Off Fed Rate Rise Push Blue Chips Up 126.79 Points ---- By E.S. Browning Staff Reporter of The Wall Street Journal,2000-05-17 06:00:00.000,Market Resilience,Overconfidence,Market Resilience
4904,Ellen Marram Decides To Resign CEO Post Of Net Venture efdex,2000-05-19 06:00:00.000,Leadership Transition,Leadership Instability,Leadership Transition
4905,Clinton Should Be Disbarred for Conduct In Jones Case Arkansas Panel Says ---- By Phil Kuntz Staff Reporter of The Wall Street Journal,2000-05-23 06:00:00.000,Legal Ethics,Legal Ethics,Legal Proceedings
4906,Marketing Brief -- BERTELSMANN AG: BOL.com's IPO Postponed Due to High-Tech Retreat,2000-05-04 06:00:00.000,IPO Delay,IPO Delay,Market Volatility
4907,Update on Small Business: Many Small Firms Are Unaware of Pension-Plan Options ---- By Eleena De Lisser Staff Reporter of The Wall Street Journal,2000-05-30 06:00:00.000,Retirement Plan Awareness,Pension Awareness,Pension Awareness
4908,Senate Panel Backs 2001 Cutoff Date for Kosovo Troop Funding ---- By David Rogers Staff Reporter of The Wall Street Journal,2000-05-10 06:00:00.000,Foreign Policy Risk,Military Spending,Geopolitical Stability
4909,Deals & Deal Makers: Nasdaq's Conversion to Quoting Stocks In Decimals May Cost Up to $130 Million ---- By Judith Burns Dow Jones Newswires,2000-05-26 06:00:00.000,Market Transition Cost,Market Disruption,Market Transition
4910,Investors Need A Battle Plan As Fed Wages Inflation War ---- By Karen Damato Staff Reporter of The Wall Street Journal,2000-05-19 06:00:00.000,Federal Reserve Policy,Monetary Policy Tightening,Monetary Policy
4911,Health Brief -- IMMUNOGEN INC.: Pact Set With Genentech For Technology License,2000-05-05 06:00:00.000,Pharmaceutical Licensing,Technology Licensing,Strategic Partnerships
4912,Japanese Banks Face New Competitors --- Changes in Rules Would Open Door To Sony 7-Eleven ---- By Phred Dvorak Staff Reporter of The Wall Street Journal,2000-05-17 06:00:00.000,Banking Competition,Banking Competition,Market Competition
4913,TriZetto Zonagen and Wild Oats Take a Beating As Small Caps Are Hit by Early Selling Pressure ---- By Karen Talley Dow Jones Newswires,2000-05-18 06:00:00.000,Small Cap Decline,Small Cap Volatility,Small Cap Volatility
4914,One World How Many Stock Exchanges? --- Barriers Fall Amid Markets' Rush to Meld ---- By Terzah Ewing and Silvia Ascarelli Staff Reporters of The Wall Street Journal,2000-05-15 06:00:00.000,Market Consolidation,Market Consolidation,Market Integration
4915,Bond Prices Continue Their Slide on Worries That the Fed Will Lift Rates More Aggressively ---- By Sonoko Setaishi and John Dooley Dow Jones Newswires,2000-05-05 06:00:00.000,Interest Rate Hikes,Aggressive Rate Hikes,Interest Rate Hikes
4916,Deere Profit Rose 36% in 2nd Period; Output to Increase ---- By Devon Spurgeon Staff Reporter of The Wall Street Journal,2000-05-17 06:00:00.000,Earnings Growth,Market Overheating,Agricultural Investment
4917,Corning Plans to Buy Rest of IntelliSense In $500 Million Deal,2000-05-23 06:00:00.000,Mergers and Acquisitions,Potential Overextension,Corporate Expansion
4918,TV Blunder Trips Mexican Opposition --- Leading Rival Fox Appears Irascible on Broadcast; Second Debate Tonight ---- By Jose De Cordoba Staff Reporter,2000-05-26 06:00:00.000,Media Bias,Media Risk,Media Risk
4919,Business Brief -- CONOCO INC.: Plaintiff in Patent Lawsuit Gets $55.2 Million Verdict,2000-05-05 06:00:00.000,Legal Risks,Legal Risk,Legal Settlement
4920,Geon M.A. Hanna to Merge Creating Plastics Firm With $3.5 Billion in Sales ---- By Susan Warren Staff Reporter of The Wall Street Journal,2000-05-09 06:00:00.000,Mergers & Acquisitions,Market Concentration,Industry Consolidation
4921,Business Brief -- TIFFANY & CO.: Board Approves Stock Split And 33% Dividend Increase,2000-05-19 06:00:00.000,Dividend Policy,Dividend Sustainability,Shareholder Value
4922,Davos Forum's Accounts Get a Clean Bill of Health --- Swiss Regulators Discover No Problems at Ventures Set Up by Klaus Schwab ---- By Julia Flynn and Steve Stecklow Staff Reporters of The Wall Street Journal,2000-05-08 06:00:00.000,Regulatory Oversight,Regulatory Oversight,Regulatory Stability
4923,Technology Brief -- BROADCOM CORP.: Low-Cost Chip to Enable High Speed in Fiber Cables,2000-05-02 06:00:00.000,Supply Chain Risk,Supply Chain Disruption,Technological Innovation
4924,Microsoft Aide Picked to Run World Online After IPO Mess ---- By Neal E. Boudette Staff Reporter of The Wall Street Journal,2000-05-11 06:00:00.000,Leadership Transition,Market Instability,Leadership Transition
4925,Microsoft Government Battle Over Case With U.S. Urging Supreme Court Review ---- By John R. Wilke Staff Reporter of The Wall Street Journal,2000-06-15 06:00:00.000,Legal Uncertainty,Regulatory Uncertainty,Regulatory Uncertainty
4926,Asian Markets Rise on Belief Fed Will Stand Pat But Uncertainty About U.S. Distracts Investors ---- By Douglas Appell Staff Reporter of The Wall Street Journal,2000-06-28 06:00:00.000,Federal Reserve Policy,Federal Reserve Policy,Federal Reserve Policy
4927,EPA Moves to End Home Use of Pesticide But Doesn't Pull It From Store Shelves ---- By Lolly Bowean Staff Reporter of The Wall Street Journal,2000-06-09 06:00:00.000,Regulatory Risk,Regulatory Risk,Regulatory Flexibility
4928,Soft Retail Sales Data in May Fail to Put Dent in Dollar Against Yen and Sterling ---- By Tom Barkley Dow Jones Newswires,2000-06-14 06:00:00.000,Currency Stability,Consumer Weakness,Currency Resilience
4929,Honeywell GM Fall As Worries Persist That Economy Is Slowing ---- By Robert O'Brien Dow Jones Newswires,2000-06-21 06:00:00.000,Economic slowdown,Economic slowdown,Economic slowdown
4930,Sony to Cut Prices And Refocus Ads For Its Desktop PCs ---- By Evan Ramstad Staff Reporter of The Wall Street Journal,2000-06-01 06:00:00.000,Pricing Strategy,Price Competition,Competitive Pricing
4931,Technology Brief -- Red Hat Inc.: Special Charges Help Widen Losses in Fiscal First Period,2000-06-16 06:00:00.000,Earnings Volatility,Earnings Volatility,Profitability Challenges
4932,Business Brief -- BURLINGTON INDUSTRIES INC.: Earnings for Fiscal 2nd Half Are Expected to Miss Target,2000-06-20 06:00:00.000,Earnings Miss,Earnings Miss,Earnings Miss
4933,U.S. Argentina to Focus on Air Pact Rift --- De La Rua to Discuss Treaty With Clinton; Protectionism Is at Issue ---- By Wall Street Journal staff reporters Craig Torres in Buenos Aires and Keith Johnson in Madrid,2000-06-12 06:00:00.000,Trade Tensions,Protectionism,Trade Negotiations
4934,Business Brief -- SCHLUMBERGER LTD.: Majority Interest in Venture To Be Had for $500 Million,2000-06-01 06:00:00.000,Investment valuation,Valuation Risk,Market Expansion
4935,Big Land Exchange in Utah Draws Fire --- Critics Question Swap Process Fear Development Will Mar Views of Zion ---- By Jim Carlton Staff Reporter of The Wall Street Journal,2000-06-13 06:00:00.000,Land Swap Controversy,Land Swap Controversy,Land Swap
4936,Business Brief -- TRIGON HEALTHCARE INC.: Insurance Unit Sues the IRS Over Income-Tax Payments,2000-06-12 06:00:00.000,Tax Disputes,Tax Disputes,Tax Dispute
4937,Deals & Deal Makers: Merrill Prepares To Reorganize Brokerage Unit ---- By Charles Gasparino Staff Reporter of The Wall Street Journal,2000-06-23 06:00:00.000,Banking Restructuring,Banking Sector Risks,Industry Restructuring
4938,Business Brief -- AMERICAN GREETINGS CORP.: First-Quarter Net Rose 60% On a 30% Increase in Sales,2000-06-21 06:00:00.000,Earnings Growth,Earnings Volatility,Growth Opportunity
4939,Foreign Steel Makers Say Consumers In the U.S. Have Overpaid by Billions ---- By Robert Guy Matthews Staff Reporter of The Wall Street Journal,2000-06-15 06:00:00.000,Trade Disputes,Market Distortions,Market Distortion
4940,GOP Readies Vote on Bill to Require `527' Groups to Increase Disclosure ---- By Jim VandeHei Staff Reporter of The Wall Street Journal,2000-06-23 06:00:00.000,Political Transparency,Political Regulation,Regulatory Scrutiny
4941,Deals & Deal Makers: J.P. Morgan Takes A Minority Stake In Arizona Market ---- By Greg Ip Staff Reporter of The Wall Street Journal,2000-06-27 06:00:00.000,Banking Investment,Market Concentration,Strategic Investment
4942,Business Brief -- CONSOLIDATED EDISON INC.: Federal Approval Is Gained For Northeast Acquisition,2000-06-01 06:00:00.000,Regulatory Approval,Regulatory Approval Risk,Regulatory Approval
4943,Business Brief -- DAVE & BUSTER'S INC.: Swing to Profit Is Reported On 30% Surge in Revenue,2000-06-06 06:00:00.000,Profitability Improvement,Earnings Volatility,Market Resilience
4944,Flooring America Inc. Files for Chapter 11; 155 Workers Laid Off,2000-06-16 06:00:00.000,Bankruptcy Risk,Bankruptcy Risk,Labor Market Disruption
4945,Business Briefs -- SMITH-GARDNER & ASSOCIATES INC.: Loss for 2nd Quarter Is Seen At Up to 16 Cents a Share,2000-06-19 06:00:00.000,Earnings Volatility,Earnings Decline,Earnings Volatility
4946,Business Brief -- CARSTATION.COM: Progressive Agrees to Deal To Take Operations Online,2000-06-05 06:00:00.000,Digital Transformation,Digital Transformation Risks,Digital Transformation
4947,Business World: How Not to Behave in a Show Trial ---- By Holman W. Jenkins Jr.,2000-06-14 06:00:00.000,Legal Risks,Legal Risks,Legal Uncertainty
4948,Ignition Makes Its First Investment With a Stake in Start-Up etrieve ---- By Rebecca Buckman Staff Reporter of The Wall Street Journal,2000-06-12 06:00:00.000,Startup Investment,Startup Investment,Venture Capital Investment
4949,Options Report: Firms Snap Up Thousands of Tech-Stock Calls As Report Indicates Slowdown for Economy ---- By Steven M. Sears Dow Jones Newswires,2000-06-02 06:00:00.000,Tech-Stock Call Buying,Market Overheating,Market Resilience
4950,Politics & Economy: Farmers Are Growing More of the Crops That Are in Oversupply Survey Finds ---- By Scott Kilman Staff Reporter of The Wall Street Journal,2000-07-03 06:00:00.000,Agricultural Oversupply,Agricultural Oversupply,Agricultural Oversupply
4951,Textile Firms Boosting Sales From Overseas --- Bedding and Towel Makers Cite Fashion and Costs For Foreign Production ---- By Mary Ellen Lloyd Dow Jones Newswires,2000-07-03 06:00:00.000,Foreign Production Costs,Offshore Production Risks,Global Expansion
4952,Taking a Hit: Yes $145 Billion Deals Tobacco a Huge Blow But Not a Killing One --- Legal Climate May Favor Appeal of Class Action; If Not Just Raise Prices --- A Pack of Cigarettes for $7? ---- By Milo Geyelin and Gordon Fairclough Staff Reporters of The Wall Street Journal,2000-07-17 06:00:00.000,Legal Risks,Legal Risks,Regulatory Impact
4953,Business Brief -- MARSH & MCLENNAN COS.: Net Income Increases 56% On Units' Revenue Gains,2000-07-27 06:00:00.000,Corporate Earnings,Earnings Overstatement,Profit Growth
4954,Investors Wince at Likely Chavez Victory --- Venezuelan Leader Popular With the Majority Poor But Not Private Sector ---- By Pamela Druckerman Staff Reporter of The Wall Street Journal,2000-07-26 06:00:00.000,Political Instability,Political Instability,Political Stability
4955,Pension Cuts 101: Companies Find Host Of Subtle Ways to Pare Retirement Payouts --- They Can Alter Each Element Of the Benefit Formula In Hard-to-Spot Moves --- IBM's Decade of Changes ---- By Ellen E. Schultz Staff Reporter of The Wall Street Journal,2000-07-27 06:00:00.000,Pension Underfunding,Pension Underfunding,Pension Optimization
4956,Grand Jury Looks At the Role of DLJ With AmeriServe ---- By Paul M. Sherer Staff Reporter of The Wall Street Journal,2000-07-27 06:00:00.000,Legal/Regulatory Risk,Legal/Regulatory Risk,Legal Investigation
4957,Discussions On Pillsbury Confirmed --- A General Mills Deal Would Mark Diageo's Final Exit From Food ---- By Sara Calian Staff Reporter of The Wall Street Journal,2000-07-14 06:00:00.000,Market Exit,Market Exit,Market Exit
4958,Dollar Marks Time Despite Evidence Of a Vigorous Low-Inflation Economy ---- By Christine Richard Dow Jones Newswires,2000-07-17 06:00:00.000,Currency Stability,Currency Stability,Currency Stability
4959,Business Briefs -- STEINWAY MUSICAL INSTRUMENTS INC.: United Musical Instruments Agrees to an Acquisition,2000-07-24 06:00:00.000,Mergers & Acquisitions,Acquisition Risk,Market Consolidation
4960,Holders Wield Little Clout in Latin Deal --- Management Likely to Win At Top Argentine Bank; Minority Activism Fails ---- By Craig Torres Staff Reporter of The Wall Street Journal,2000-07-21 06:00:00.000,Minority Shareholder Influence,Minority Influence,Corporate Governance
4961,A Different Tune: When Its Own Assets Are Involved Napster Is No Fan of Sharing --- Copyright Maverick Resists Those Who Would Join It on Disputed Frontier --- `It's a List of Pirated Music' ---- By Lee Gomes Staff Reporter of The Wall Street Journal,2000-07-26 06:00:00.000,Intellectual Property Litigation,Intellectual Property Litigation,Intellectual Property Rights
4962,Business Brief -- MARTHA STEWART LIVING OMNIMEDIA INC.: Profit Soars Amid Strength In Magazine Advertising,2000-07-28 06:00:00.000,Advertising Revenue,Advertising Dependence,Advertising Growth
4963,Revival for Indonesian Stocks Looks Unlikely Despite Citigroup Unit's New Stake in Dairy Firm ---- By Jeremy Wagstaff Staff Reporter of The Wall Street Journal,2000-07-14 06:00:00.000,Market Sentiment,Market Sentiment,Market Sentiment
4964,Kaufman & Broad Auctions Homes Online --- In First Large-Scale Internet Property Sale Home Builder Sees Savings ---- By Patrick Barta Staff Reporter of The Wall Street Journal,2000-07-13 06:00:00.000,Online Real Estate Auction,Real Estate Bubble,Digital Real Estate
4965,Business Brief -- ALLOY ONLINE INC.: Stock Deal Is Made to Buy Skateboard Cataloger CCS,2000-07-19 06:00:00.000,Mergers and Acquisitions,Mergers and Acquisitions,Mergers and Acquisitions
4966,ACLU Asks Details On FBI's New Plan To Monitor the Web ---- By Nick Wingfield Staff Reporter of The Wall Street Journal,2000-07-17 06:00:00.000,Privacy Concerns,Privacy Concerns,Privacy Concerns
4967,Volume of Convertible Bond Offerings Continues To Rise With Big Deals by Technology Concerns ---- By Jennifer Ablan Staff Reporter of The Wall Street Journal,2000-07-13 06:00:00.000,Convertible Bond Issuance,Dilution Risk,Tech Financing
4968,Milan's MIBtel Weathers Tech-Stock Gyrations Outperforms Other Europe Markets This Year ---- By Deborah Ball Staff Reporter of The Wall Street Journal,2000-07-03 06:00:00.000,Market Resilience,Tech Volatility,Market Resilience
4969,Jury in Mississippi Finds R.J. Reynolds Not Responsible for Death of a Smoker ---- By Milo Geyelin Staff Reporter of The Wall Street Journal,2000-07-13 06:00:00.000,Liability Risk,Liability Risk,Legal Liability
4970,Reality Check: Life After the Dot-Com Crash --- What Were We THINKING? --- Arrogance Greed and Optimism Plus Fear of Being Left Out Blinded People to the Risks ---- By Thomas E. Weber,2000-07-18 06:00:00.000,Market Bubbles,Market Excesses,Market Resilience
4971,Williams Is Kingmaker Among Telecom Start-Ups --- Long-Distance Firm Invests Provides Tips to Suppliers And Often Sees Windfall ---- By Scott Thurm and Mark Maremont Staff Reporters of The Wall Street Journal,2000-07-13 06:00:00.000,Telecom Investment Risk,Market Concentration,Telecom Investment Opportunities
4972,Levels of HIV Infection and AIDS Fail To Decline in the U.S. Health Data Show ---- By Ann Carrns Staff Reporter of The Wall Street Journal,2000-07-10 06:00:00.000,Public Health Impact,Public Health Crisis,Public Health Investment
4973,Corruption Stunts Growth in Ex-Soviet States --- Fresh Probe Reflects Big Drag on Reforms Foreign Investment ---- By Hugh Pope Staff Reporter of The Wall Street Journal,2000-07-05 06:00:00.000,Corruption Risk,Corruption Risks,Corruption Risks
4974,Phoenix Investment Jumps 28% As Stocks Rise in Listless Session ---- By Larry Bauman Dow Jones Newswires,2000-07-26 06:00:00.000,Market Volatility,Market Volatility,Market Volatility
4975,As the Euro Burns: Plunge In Value Pressures Leaders --- Central Bank Could Raise Rates to Stem Inflation; Can Economy Take It? ---- By G. Thomas Sims Staff Reporter of The Wall Street Journal,2000-08-24 06:00:00.000,Euro depreciation,Euro Depreciation,Euro Depreciation
4976,UBS Flagship Continues to Disappoint --- Results at Big Swiss Bank Show Client Assets Fell 3% in the Second Period ---- By Marcus Walker Staff Reporter of The Wall Street Journal,2000-08-23 06:00:00.000,Client Asset Decline,Client Asset Decline,Client Asset Decline
4977,Demand for Airwaves May Create Shortage --- Broadcasters Inhabit Space Needed to Accommodate New Wireless Products ---- By Jill Carroll and Leslie Cauley Staff Reporters of The Wall Street Journal,2000-08-02 06:00:00.000,Spectrum Shortage,Spectrum Shortage,Spectrum Scarcity
4978,Sony Holds Talks With Liberty Digital To Sell Stake in Game Show Network ---- By John Lippman and Anna Wilde Mathews Staff Reporters of The Wall Street Journal,2000-08-11 06:00:00.000,Media Ownership Concentration,Market Consolidation,Market Consolidation
4979,Big Role in Europe Inc. Eludes Italy --- Alitalia-KLM Split Reflects Obstacles To Foreign Deals ---- By Deborah Ball Staff Reporter of The Wall Street Journal,2000-08-07 06:00:00.000,Foreign M&A Challenges,Foreign Deal Obstacles,Foreign Investment Barriers
4980,Business Brief -- JACK IN THE BOX INC.: Net Income Increases 20% On Expansion of Stores,2000-08-02 06:00:00.000,Expansion Risk,Overexpansion,Growth Opportunity
4981,Euro's Weakness Against the Dollar May Continue Even if Fed Stays Put ---- By Christine Richard Dow Jones Newswires,2000-08-22 06:00:00.000,Currency Depreciation,Currency Depreciation,Currency Volatility
4982,Transmeta Plans IPO To Fund Work on Chips For Portable Computers,2000-08-18 06:00:00.000,IPO Funding,Market Overvaluation,Innovation Funding
4983,Disclosure Rule Cleared By the SEC --- Wall Street Firms Say Fairness Issue Skirted ---- By Michael Schroeder and Randall Smith Staff Reporters of The Wall Street Journal,2000-08-11 06:00:00.000,Regulatory Approval,Regulatory Risks,Regulatory Flexibility
4984,Equity Office Properties Trust to Acquire Skyscraper in New York for $715 Million ---- By Peter Grant Staff Reporter of The Wall Street Journal,2000-08-01 06:00:00.000,Commercial Real Estate Investment,Overleveraging,Commercial Real Estate
4985,Siebel Systems to Buy OnLink Technologies Split Stock 2 for 1,2000-08-08 06:00:00.000,Mergers and Acquisitions,Market Overextension,Market Expansion
4986,Another Firestone Tire Is Under Scrutiny --- Regulators Probe Reports Of Overseas Failures On Its 16-Inch Versions ---- By Devon Spurgeon Staff Reporter of The Wall Street Journal,2000-08-31 06:00:00.000,Product Recall Risks,Product Recall Risks,Regulatory Oversight
4987,Margin Buyers Beware! New NASD Rule Would Require Warning on Account Risk ---- By Ruth Simon and Terzah Ewing Staff Reporters of The Wall Street Journal,2000-08-03 06:00:00.000,Regulatory Risk,Regulatory Warning,Regulatory Disclosure
4988,Once-Prosperous Hedge Fund Is Torn In Power Struggle Over Profits Control ---- By Ianthe Dugan Staff Reporter of The Wall Street Journal,2000-08-04 06:00:00.000,Fund Management Conflict,Fundamental Instability,Fund Management
4989,Anaren Microwave and VA Linux Rise as Nasdaq Small Caps Split ---- By Larry Bauman Dow Jones Newswires,2000-08-10 06:00:00.000,Market Volatility,Market Volatility,Market Volatility
4990,Car Truck Sales Edged Higher in July --- DaimlerChrysler GM Had Declines for the Month As Record Pace Cooled ---- By Sholnn Freeman Staff Reporter of The Wall Street Journal,2000-08-02 06:00:00.000,Automotive Market Slowdown,Auto Market Slowdown,Market Resilience
4991,Short Interest In Nasdaq Issues Increases 3.6% --- DoubleClick and Conexant Decline; Cisco CNET And Staples Advance ---- By Cassell Bryan-Low Staff Reporter of The Wall Street Journal,2000-08-25 06:00:00.000,Short Selling,Rising Short Interest,Market Volatility
4992,Rise in Home Prices In U.K. Is Moderating Recent Data Show,2000-08-07 06:00:00.000,Housing Market Slowdown,Housing Bubble,Housing Market
4993,VoiceStream Wireless Agrees to Purchase Rival Powertel for $5.9 Billion in Stock ---- By Nicole Harris and Nikhil Deogun Staff Reporters of The Wall Street Journal,2000-08-28 06:00:00.000,Mergers and Acquisitions,Market Consolidation,Market Consolidation
4994,Treasury Plans Sale Of $18 Billion in Bills To Raise New Cash ---- Dow Jones Newswires,2000-08-21 06:00:00.000,Debt Issuance,Funding Shortage,Debt Issuance
4995,Trade Deficit Reaches Another Record As High Oil Prices Offset Export Growth ---- By Elizabeth Price Dow Jones Newswires,2000-08-21 06:00:00.000,Trade imbalance,Trade Imbalance,Oil Prices
4996,Principal Financial Group Sets Plans To Go Public Through Demutualization ---- By Jeff D. Opdyke Staff Reporter of The Wall Street Journal,2000-08-25 06:00:00.000,Insurance Industry Restructuring,Market Disruption,Market Restructuring
4997,Kremlin Is Silenced By TV-Tower Fire But Major Foe Is Not ---- By Alan S. Cullison Staff Reporter of The Wall Street Journal,2000-08-29 06:00:00.000,Media Disruption,Media Disruption,Media Disruption
4998,Putin's Image Is Weakened By Slow Disaster Response --- Russians Say Government Misled Them on Sinking Of Nuclear Submarine ---- By Alan Cullison and Guy Chazan Staff Reporters of The Wall Street Journal,2000-08-18 06:00:00.000,Government Transparency,Government Transparency,Government Transparency
4999,Business Brief -- ANALOG DEVICES INC.: Fiscal 3rd-Period Net Surges On Strong Chip Demand,2000-08-16 06:00:00.000,Semiconductor Demand,Overheating Demand,Global Semiconductor Demand
5000,Poverty Rate Falls to 11.8% the Lowest Level Since 1979 --- Median Household Income During 1999 Increased For Fifth Year in Row ---- By Nicholas Kulish Staff Reporter of The Wall Street Journal,2000-09-27 06:00:00.000,Income Growth,Income Inequality,Economic Growth
5001,Deals & Deal Makers: Energy Sector Is Focus of IPO Market As Southern Energy Hydril Post Gains ---- By Raymond Hennessey Dow Jones Newswires,2000-09-28 06:00:00.000,Energy Sector IPOs,Energy Sector IPOs,Energy IPOs
5002,Letco Omega LMM Form Venture That Will Be Pacific Exchange's Biggest Specialist ---- By Steven M. Sears Dow Jones Newswires,2000-09-15 06:00:00.000,Market Concentration,Market Concentration,Market Expansion
5003,Italy's Tiscali Nears Accord To Acquire World Online --- An All-Stock Deal Possible Next Week Would Make Europe's No. 2 Net Firm ---- By Wall Street Journal staff reporters Yaroslav Trofimov in Milan and Neal E. Boudette in Frankfurt,2000-09-01 06:00:00.000,Mergers and Acquisitions,Overleveraging,Market Consolidation
5004,Nike's Net Increased In Fiscal 1st Period As Revenue Rose 5.4%,2000-09-15 06:00:00.000,Revenue Growth,Profit Margin Pressure,Revenue Growth
5005,IMF Weary of Criticism Braces for Protests at Its Annual Meeting ---- By Michael M. Phillips Staff Reporter of The Wall Street Journal,2000-09-22 06:00:00.000,Institutional Criticism,Institutional Stability,Institutional Stability
5006,Former Senior Official At Bankers Trust Pleads Guilty to Conspiracy ---- Dow Jones Newswires,2000-09-19 06:00:00.000,Financial Crime Risk,Financial Crime Risk,Regulatory Scrutiny
5007,Daewoo Motor Creditors Will Consider Partial Sale --- But DaimlerChrysler Seen As a Likely Bidder Says It's No Longer Interested,2000-09-29 06:00:00.000,Asset Sale,Automotive Industry Restructuring,Market Restructuring
5008,Peter Hancock Quits As Financial Chief Of J.P. Morgan & Co. ---- Dow Jones Newswires,2000-09-11 06:00:00.000,Leadership Transition,Leadership Instability,Leadership Transition
5009,Corporate Borrowing Binge May Start to Place Upward Pressure on Consumer Mortgage Rates ---- By Gregory Zuckerman Staff Reporter of The Wall Street Journal,2000-09-19 06:00:00.000,Mortgage Rate Pressure,Mortgage Rate Pressure,Rising Borrowing Costs
5010,Business Brief -- DURAMED PHARMACEUTICALS INC.: Antitrust Lawsuit Targets American Home Products,2000-09-06 06:00:00.000,Antitrust Litigation,Antitrust Litigation,Antitrust Litigation
5011,Daimler Moves to Shore Up Mitsubishi --- Turnaround Whiz Eckrodt Has Much To Turn Around ---- By Wall Street Journal staff reporters G. Thomas Sims in Frankfurt and Todd Zaun and Phred Dvorak in Tokyo,2000-09-11 06:00:00.000,Corporate Restructuring,Corporate Restructuring,Corporate Restructuring
5012,Deals & Deal Makers: Leveraged Syndicated Loans / Trends & Prices,2000-09-06 06:00:00.000,Market Liquidity,Liquidity Risk,Market Liquidity
5013,U.S. Joins Europe in Action to Boost Euro --- Summers Wants Markets To Know He Still Backs A Strong-Dollar Policy ---- By Michael M. Phillips and G. Thomas Sims Staff Reporters of The Wall Street Journal,2000-09-25 06:00:00.000,Currency Intervention,Currency Intervention,Currency Stabilization
5014,Los Angeles Utility Is Surprise Beneficiary of Deregulation --- City-Owned Department Has Surplus Electricity for Sale at Enormous Profit ---- By Rebecca Smith Staff Reporter of The Wall Street Journal,2000-09-06 06:00:00.000,Utility Deregulation,Market Distortion,Market Opportunity
5015,Now That's Portable -- Nomad Jukebox Holds More Than 1 500 Songs ---- By Walter S. Mossberg,2000-09-14 06:00:00.000,Technological Obsolescence,Market Saturation,Technological Innovation
5016,Deals & Deal Makers: Nasdaq Agrees to Changes in Proposal For Trading Platform `SuperMontage' ---- By Greg Ip Staff Reporter of The Wall Street Journal,2000-09-28 06:00:00.000,Market Regulation,Market Regulation,Market Innovation
5017,Pan-European Market That Is Already Trading Stocks Gets Second Look in Wake of LSE News ---- By Craig Karmin and Erik Portanger Staff Reporters of The Wall Street Journal,2000-09-14 06:00:00.000,Market Volatility,Market Consolidation,Market Reassessment
5018,Lee's Plea Hearing Is Postponed Raising Fears That the Deal Is Off ---- By Wall Street Journal reporters John J. Fialka Gary Fields and Neil King Jr.,2000-09-12 06:00:00.000,Legal Uncertainty,Legal Uncertainty,Legal Uncertainty
5019,For Paroled Tycoon Life After Prison Is on the Internet ---- By Dagmar Aalund Staff Reporter of The Wall Street Journal,2000-09-13 06:00:00.000,Reputation Risk,Reputational Risk,Reputational Risk
5020,Car Wars: In Race With Honda Once-Stodgy Toyota Tries to Rev Up Image --- It Targets a Younger Market With Hip Ads Designs; Rival Accelerates Output --- The Birth of `Dancing Baby' ---- By Norihiko Shirouzu and Yumiko Ono Staff Reporters of The Wall Street Journal,2000-09-21 06:00:00.000,Market Competition,Market Disruption,Brand Revitalization
5021,Bush Debate Plan Pushes Two Objectives For Campaign That May Be in Conflict ---- By John Harwood Staff Reporter of The Wall Street Journal,2000-09-06 06:00:00.000,Campaign Strategy Risks,Political Instability,Campaign Strategy
5022,Online Stock Message-Board Poster Sued For Defamation Over Statements on Web ---- By John R. Emshwiller Staff Reporter of The Wall Street Journal,2000-09-21 06:00:00.000,Legal Risk,Legal Risks,Legal Risks
5023,American Opinion (A Special Report) --- A Quarterly Survey of Politics Economics & Values --- How the Poll Was Conducted ---- By Christy Harvey,2000-09-14 06:00:00.000,Public Opinion Bias,Political instability,Public Sentiment
